token_path,gloss
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-1.pt,JETZT WETTER MORGEN DONNERSTAG ZWOELF FEBRUAR
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-4.pt,ORT REGEN DURCH REGEN KOENNEN UEBERSCHWEMMUNG KOENNEN
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-5.pt,NORDWEST HEUTE NACHT TROCKEN BLEIBEN SUEDWEST KOENNEN REGEN ORT GEWITTER DAZU
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-6.pt,TAGSUEBER OFT REGEN GEWITTER KOENNEN MANCHMAL REGEN VIEL REGEN
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-7.pt,WOLKE LOCH SPEZIELL NORDWEST
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-9.pt,FLUSS HEUTE NACHT SECHS FLUSS SIEBZEHN GRAD
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-10.pt,MORGEN TEMPERATUR GLEICH-WIE HEUTE NEUNZEHN BIS FUENF ZWANZIG L IX SIEBEN ZWANZIG GRAD
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-11.pt,FREITAG OST KOENNEN REGEN STARK REGEN VORSICHT UEBERSCHWEMMUNG KOENNEN
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-12.pt,REGION WECHSELHAFT REGEN GEWITTER AUCH WOCHENENDE
/home/mpanag/data/thesis_storage/tokens/train/11August_2010_Wednesday_tagesschau-13.pt,TEMPERATUR BLEIBEN GLEICH
